ID;ACTIVE;NAME;PARENT_CATEGORY;ROOT_CATEGORY;DESCRIPTION;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;IMAGE_URL;DATE_ADD;DATE_UPD
2570;1;"Fashion Accessories";Home;0;;;;;fashion-accessories;;"2017-05-25 16:43:00";"2023-07-03 14:49:52"
2573;1;"Clothes and Shoes";"Fashion Accessories";0;;;;;clothes-and-shoes;;"2017-05-25 16:42:59";"2023-07-03 14:49:52"
2575;1;Underwear;"Clothes and Shoes";0;;;;;underwear;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2577;1;"Pyjamas and sleeved blankets";"Clothes and Shoes";0;;;;;pyjamas-and-sleeved-blankets;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2580;1;"Other garments";"Clothes and Shoes";0;;;;;other-garments;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2582;1;"Other footwear accessories";"Clothes and Shoes";0;;;;;other-footwear-accessories;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2584;1;Accessories;"Fashion Accessories";0;;;;;accessories;;"2017-05-25 16:42:59";"2023-07-04 07:48:47"
2586;1;Sunglasses;"Fashion Accessories";0;;;;;sunglasses;;"2017-05-25 16:42:59";"2023-07-28 07:47:42"
2588;1;"Bags and wallets";Accessories;0;;;;;bags-and-wallets;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2590;1;Umbrellas;Accessories;0;;;;;umbrellas;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2591;1;"Hats, scarves and other items";Accessories;0;;;;;hats-scarves-and-other-items;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2595;1;Beads;"Fashion Jewellery";0;;;;;beads;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2598;1;"Fashion Jewellery";"Fashion Accessories";0;;;;;fashion-jewellery;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2600;1;Rings;"Fashion Jewellery";0;;;;;rings;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2602;1;Bracelets;"Fashion Jewellery";0;;;;;bracelets;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2604;1;Necklaces;"Fashion Jewellery";0;;;;;necklaces;;"2017-05-25 16:42:59";"2023-07-05 14:50:13"
2606;1;"Other accessories";"Fashion Jewellery";0;;;;;other-accessories;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2635;1;Wristwatches;"Fashion Accessories";0;;;;;wristwatches;;"2017-05-25 16:42:59";"2023-07-03 21:47:12"
2661;1;Earrings;"Fashion Jewellery";0;;;;;earrings;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2899;1;Keyrings;Accessories;0;;;;;keyrings;;"2017-05-25 16:42:59";"2023-02-06 14:46:36"
2954;1;"Brooches and cufflinks";"Fashion Jewellery";0;;;;;brooches-and-cufflinks;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2962;1;"Bikinis and swimsuits";"Clothes and Shoes";0;;;;;bikinis-and-swimsuits;;"2017-11-10 08:06:40";"2021-09-20 14:01:20"
2963;1;Shirts;"Clothes and Shoes";0;;;;;shirts;;"2019-08-28 09:45:08";"2023-07-06 14:47:29"
2964;1;T-shirts;"Clothes and Shoes";0;;;;;t-shirts;;"2018-01-18 10:14:35";"2021-09-20 14:01:20"
2965;1;Cardigan;"Clothes and Shoes";0;;;;;cardigan;;"2021-06-28 14:00:24";"2021-09-20 14:01:20"
2966;1;Hats;Accessories;0;;;;;hats;;"2017-11-10 08:06:37";"2023-07-04 14:47:59"
2967;1;Jumpers;"Clothes and Shoes";0;;;;;jumpers;;"2021-07-08 07:00:24";"2021-09-20 14:01:20"
2969;1;"Polo shirts";"Clothes and Shoes";0;;;;;polo-shirts;;"2021-01-11 15:03:00";"2023-02-13 14:50:50"
2970;1;Hoodies;"Clothes and Shoes";0;;;;;hoodies;;"2019-08-19 12:15:09";"2021-09-20 14:01:20"
2971;1;Dresses;"Clothes and Shoes";0;;;;;dresses;;"2018-01-18 10:16:12";"2021-09-20 14:01:20"
2972;1;"Casual trainers";"Clothes and Shoes";0;;;;;casual-trainers;;"2018-01-17 09:06:04";"2021-09-20 14:01:20"
2973;1;"Sports shoes";"Clothes and Shoes";0;;;;;sports-shoes;;"2017-11-10 08:05:04";"2023-07-04 14:47:59"
2974;1;Slippers;"Clothes and Shoes";0;;;;;slippers;;"2017-11-10 08:06:47";"2021-09-20 14:01:20"
2975;1;"Sandals and clogs";"Clothes and Shoes";0;;;;;sandals-and-clogs;;"2017-11-10 08:07:01";"2023-07-06 14:47:29"
2976;1;Shoes;"Clothes and Shoes";0;;;;;shoes;;"2018-01-17 09:02:50";"2021-09-20 14:01:20"
2977;1;"Wellington boots";"Clothes and Shoes";0;;;;;wellington-boots;;"2017-11-10 08:05:56";"2024-02-13 14:48:57"
2978;1;Insoles;"Clothes and Shoes";0;;;;;insoles;;"2017-11-10 08:06:59";"2023-03-08 07:47:20"
2979;1;Belts;Accessories;0;;;;;belts;;"2018-01-11 09:57:17";"2021-09-20 14:01:20"
2980;1;Trousers;"Clothes and Shoes";0;;;;;clothes-and-shoes-trousers;;"2021-07-08 07:00:24";"2022-03-10 07:45:53"
2982;1;Skirts;"Clothes and Shoes";0;;;;;skirts;;"2018-01-18 10:15:49";"2021-09-20 14:01:20"
2984;1;Coats;"Clothes and Shoes";0;;;;;coats;;"2018-01-18 10:13:18";"2021-09-20 14:01:20"
2985;1;Jackets;"Clothes and Shoes";0;;;;;jackets;;"2018-01-18 10:14:58";"2021-09-20 14:01:20"
2986;1;Blouses;"Clothes and Shoes";0;;;;;blouses;;"2018-01-18 10:14:11";"2021-09-20 14:01:20"
2987;1;"Men's swimwear";"Clothes and Shoes";0;;;;;men-s-swimwear;;"2021-07-09 14:00:31";"2021-09-20 14:01:20"
2994;1;"Men's watches";Wristwatches;0;;;;;men-s-watches;;"2017-11-10 08:06:15";"2023-07-04 14:47:59"
2995;1;"Women's watches";Wristwatches;0;;;;;women-s-watches;;"2017-11-10 08:06:18";"2023-07-04 14:47:59"
2996;1;"Unisex watches";Wristwatches;0;;;;;unisex-watches;;"2017-11-10 08:06:24";"2023-07-04 14:47:59"
2997;1;"Children's watches";Wristwatches;0;;;;;children-s-watches;;"2017-11-10 08:06:29";"2023-07-04 14:47:59"
2998;1;"Men's Sunglasses";Sunglasses;0;;;;;men-s-sunglasses;;"2017-11-10 08:06:30";"2023-07-04 14:47:59"
2999;1;"Ladies' Sunglasses";Sunglasses;0;;;;;ladies-sunglasses;;"2017-11-10 08:06:32";"2023-07-04 14:47:59"
3000;1;"Unisex Sunglasses";Sunglasses;0;;;;;unisex-sunglasses;;"2017-11-10 08:06:33";"2023-07-04 14:47:59"
3001;1;"Child Sunglasses";Sunglasses;0;;;;;child-sunglasses;;"2017-11-10 08:06:34";"2021-09-20 14:01:20"
3370;1;"Shorts and bermudas";"Clothes and Shoes";0;;;;;shorts-and-bermudas;;"2021-07-08 14:00:26";"2021-09-20 14:01:20"
3372;1;Boots;"Clothes and Shoes";0;;;;;boots;;"2019-08-28 10:01:56";"2023-03-07 14:47:32"
3373;1;Sandals;"Clothes and Shoes";0;;;;;sandals;;"2019-08-28 10:05:53";"2021-09-20 14:01:20"
3375;1;Leggings;"Clothes and Shoes";0;;;;;leggings;;"2021-07-08 07:00:24";"2023-04-13 07:53:39"
