ID;ACTIVE;NAME;PARENT_CATEGORY;ROOT_CATEGORY;DESCRIPTION;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;IMAGE_URL;DATE_ADD;DATE_UPD
2491;1;"Sports Leisure";Home;0;;;;;sports-leisure;;"2017-05-25 16:43:00";"2023-07-03 21:47:12"
2492;1;"Fitness and Exercise Equipment";Fitness;0;;;;;fitness-and-exercise-equipment;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2493;1;"Vibrating Belts and Electrostimulators";Fitness;0;;;;;vibrating-belts-and-electrostimulators;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2496;1;"Outdoor Activities";"Sports Leisure";0;;;;;outdoor-activities;;"2017-05-25 16:42:59";"2022-07-23 21:48:22"
3142;1;"Camping and Mountain";"Sports Leisure";0;;;;;camping-and-mountain;;"2017-12-24 22:38:25";"2023-07-03 21:47:12"
3143;1;"Beach and Pool";"Sports Leisure";0;;;;;beach-and-pool;;"2017-12-24 22:42:25";"2023-07-04 07:48:47"
3144;1;"Suitcases and Hand Luggage";"For Travel";0;;;;;suitcases-and-hand-luggage;;"2017-12-24 22:48:47";"2023-07-04 14:47:59"
3212;1;"Running and Athletics";"Sports Leisure";0;;;;;running-and-athletics;;"2019-07-24 12:30:04";"2023-07-04 14:47:59"
3213;1;"Running and athletics t-shirts";"Running and Athletics";0;;;;;running-and-athletics-t-shirts;;"2019-07-29 07:46:55";"2023-02-06 14:46:36"
3214;1;"Running shoes";"Running and Athletics";0;;;;;running-shoes;;"2019-07-31 05:45:06";"2021-09-20 14:01:20"
3215;1;"Cross training shoes";"Running and Athletics";0;;;;;cross-training-shoes;;"2019-07-31 05:45:38";"2021-09-20 14:01:20"
3216;1;"Running and athletics tights";"Running and Athletics";0;;;;;running-and-athletics-tights;;"2019-07-31 07:00:54";"2024-12-02 14:48:35"
3217;1;"Running and athletics trousers";"Running and Athletics";0;;;;;running-and-athletics-trousers;;"2019-07-31 05:45:45";"2023-02-09 21:46:58"
3219;1;"Running and athletics sweatshirts";"Running and Athletics";0;;;;;running-and-athletics-sweatshirts;;"2019-07-31 05:46:38";"2023-09-28 14:46:47"
3220;1;"Running and athletics accessories";"Running and Athletics";0;;;;;running-and-athletics-accessories;;"2019-07-24 12:30:35";"2023-07-04 14:47:59"
3221;1;"For Travel";"Sports Leisure";0;;;;;for-travel;;"2019-07-24 06:45:15";"2023-07-04 14:47:59"
3224;1;"Car accessories";"For Travel";0;;;;;car-accessories;;"2021-06-28 21:00:24";"2021-09-20 14:01:20"
3225;1;"Neck cushions";"For Travel";0;;;;;neck-cushions;;"2019-07-31 05:46:41";"2021-09-20 14:01:20"
3226;1;"Toiletries bags";"For Travel";0;;;;;toiletries-bags;;"2019-07-24 07:30:31";"2023-07-04 14:47:59"
3227;1;"Plug adaptors";"For Travel";0;;;;;plug-adaptors;;"2019-07-31 05:47:43";"2023-07-04 14:47:59"
3228;1;Basketball;"Sports Leisure";0;;;;;basketball;;"2019-07-24 07:15:16";"2023-02-08 07:48:30"
3229;1;"Basketball shoes";Basketball;0;;;;;basketball-shoes;;"2019-07-24 07:15:31";"2021-09-20 14:01:20"
3230;1;Basketballs;Basketball;0;;;;;basketballs;;"2019-07-24 07:15:30";"2021-09-20 14:01:20"
3231;1;"Basketball accessories";Basketball;0;;;;;basketball-accessories;;"2019-07-24 07:15:28";"2021-09-20 14:01:20"
3235;1;Cycling;"Sports Leisure";0;;;;;cycling;;"2019-07-23 13:35:24";"2023-07-04 14:47:59"
3237;1;"Cycling helmets";Cycling;0;;;;;cycling-helmets;;"2019-07-23 13:35:31";"2023-07-04 14:47:59"
3238;1;"Cycling gloves";Cycling;0;;;;;cycling-gloves;;"2019-07-23 13:35:39";"2021-09-20 14:01:20"
3240;1;"Cycling accessories";Cycling;0;;;;;cycling-accessories;;"2019-07-25 07:15:04";"2023-07-04 14:47:59"
3241;1;"Other Sports";"Sports Leisure";0;;;;;other-sports;;"2019-07-23 13:36:45";"2023-07-04 14:47:59"
3243;1;Badminton;"Other Sports";0;;;;;badminton;;"2019-08-01 08:02:58";"2021-09-20 14:01:20"
3244;1;Handball;"Other Sports";0;;;;;handball;;"2019-08-05 11:46:45";"2023-02-06 14:46:36"
3246;1;Baseball;"Other Sports";0;;;;;baseball;;"2019-08-05 11:46:47";"2021-09-20 14:01:20"
3248;1;"Hunting and shooting";"Other Sports";0;;;;;hunting-and-shooting;;"2019-08-05 11:46:49";"2021-09-20 14:01:20"
3249;1;Frontenis;"Other Sports";0;;;;;frontenis;;"2019-08-05 11:47:19";"2023-12-07 21:47:06"
3251;1;"Golf and mini golf";"Other Sports";0;;;;;golf-and-mini-golf;;"2019-07-23 13:45:03";"2023-03-02 14:46:35"
3252;1;Hockey;"Other Sports";0;;;;;hockey;;"2019-08-05 11:47:20";"2021-09-20 14:01:20"
3254;1;Skateboard;"Other Sports";0;;;;;skateboard;;"2019-08-05 11:47:22";"2021-09-20 14:01:20"
3255;1;Squash;"Other Sports";0;;;;;squash;;"2019-08-05 11:47:23";"2023-06-08 14:46:43"
3256;1;"Table Tennis";"Other Sports";0;;;;;table-tennis;;"2019-07-24 12:30:49";"2021-09-20 14:01:20"
3257;1;Volleyball;"Other Sports";0;;;;;volleyball;;"2019-07-23 13:36:53";"2023-03-01 14:48:10"
3258;1;"Martial arts";"Other Sports";0;;;;;martial-arts;;"2019-07-31 09:45:03";"2021-09-20 14:01:20"
3260;1;Boxing;"Other Sports";0;;;;;boxing;;"2019-07-23 13:37:01";"2021-09-20 14:01:20"
3261;1;Fishing;"Other Sports";0;;;;;fishing;;"2019-07-23 13:37:02";"2021-09-20 14:01:20"
3264;1;"Underwater activities";"Other Sports";0;;;;;underwater-activities;;"2019-08-05 11:47:24";"2023-07-04 14:47:59"
3266;1;Skating;"Other Sports";0;;;;;skating;;"2019-08-05 11:47:25";"2023-02-07 21:46:51"
3268;1;"Sports material and equipment";"Sports Leisure";0;;;;;sports-material-and-equipment;;"2019-07-22 08:45:12";"2025-01-18 07:47:10"
3269;1;"Sports t-shirts";"Sports material and equipment";0;;;;;sports-t-shirts;;"2019-07-25 07:15:25";"2023-07-04 14:47:59"
3270;1;"Sports sets";"Sports material and equipment";0;;;;;sports-sets;;"2019-07-31 05:48:42";"2023-02-10 14:47:46"
3272;1;Swimming;"Sports Leisure";0;;;;;swimming;;"2019-07-22 09:45:06";"2023-07-04 14:47:59"
3273;1;"Sports Trousers";"Sports material and equipment";0;;;;;sports-trousers;;"2019-07-25 07:15:28";"2023-07-04 14:47:59"
3274;1;"Sports bras";"Sports material and equipment";0;;;;;sports-bras;;"2019-07-25 10:30:10";"2021-09-20 14:01:20"
3275;1;Tracksuits;"Sports material and equipment";0;;;;;tracksuits;;"2019-07-31 05:49:53";"2021-09-20 14:01:20"
3276;1;"Swimming goggles";Swimming;0;;;;;swimming-goggles;;"2019-07-24 10:04:38";"2023-02-09 21:46:58"
3278;1;"Sports swimwear";Swimming;0;;;;;swimming-sports-swimwear;;"2019-07-23 13:37:56";"2023-03-09 21:47:36"
3280;1;"Flip-flops and clogs for swimming";Swimming;0;;;;;flip-flops-and-clogs-for-swimming;;"2019-07-29 11:45:03";"2021-09-20 14:01:20"
3281;1;"Swimming caps";Swimming;0;;;;;swimming-caps;;"2019-07-22 10:45:02";"2021-09-20 14:01:20"
3282;1;"Swim socks";Swimming;0;;;;;swim-socks;;"2019-07-29 11:30:03";"2021-09-20 14:01:20"
3283;1;Bathrobes;Swimming;0;;;;;bathrobes;;"2019-07-31 05:47:46";"2021-09-20 14:01:20"
3284;1;"Swimming accessories";Swimming;0;;;;;swimming-accessories;;"2019-07-31 05:48:39";"2023-07-04 14:47:59"
3285;1;"Tennis and Padel";"Sports Leisure";0;;;;;tennis-and-padel;;"2019-07-24 06:30:14";"2023-02-06 14:46:36"
3286;1;"Tennis and padel shoes";"Tennis and Padel";0;;;;;tennis-and-padel-shoes;;"2019-07-24 06:30:58";"2021-09-20 14:01:20"
3287;1;"Tennis and padel t-shirts";"Tennis and Padel";0;;;;;tennis-and-padel-t-shirts;;"2019-07-24 06:30:24";"2021-09-20 14:01:20"
3288;1;"Tennis and Paddle Tennis Balls";"Tennis and Padel";0;;;;;tennis-and-paddle-tennis-balls;;"2019-07-24 06:30:55";"2023-02-27 07:51:48"
3289;1;"Tennis Rackets";"Tennis and Padel";0;;;;;tennis-rackets;;"2019-07-24 06:30:56";"2023-02-06 14:46:36"
3290;1;"Paddle tennis paddles";"Tennis and Padel";0;;;;;paddle-tennis-paddles;;"2019-07-31 05:48:40";"2023-02-13 14:50:50"
3291;1;"Tennis and padel accessories";"Tennis and Padel";0;;;;;tennis-and-padel-accessories;;"2019-07-24 06:30:17";"2023-02-06 14:46:36"
3292;1;"Sports backpacks and bags";"Sports material and equipment";0;;;;;sports-backpacks-and-bags;;"2019-07-22 08:45:15";"2023-07-04 14:47:59"
3293;1;Socks;"Sports material and equipment";0;;;;;socks;;"2019-07-31 05:49:55";"2023-02-09 21:46:58"
3294;1;"Sports sweatshirts";"Sports material and equipment";0;;;;;sports-sweatshirts;;"2019-07-25 07:16:03";"2023-07-04 14:47:59"
3295;1;Leggings;"Sports material and equipment";0;;;;;leggings;;"2019-07-25 07:16:23";"2021-09-20 14:01:20"
3296;1;Vests;"Sports material and equipment";0;;;;;vests;;"2019-07-25 07:16:25";"2023-07-04 14:47:59"
3297;1;"Sports Jackets";"Sports material and equipment";0;;;;;sports-jackets;;"2019-07-25 07:16:53";"2021-09-20 14:01:20"
3298;1;"Sports Caps";"Sports material and equipment";0;;;;;sports-caps;;"2019-07-25 07:16:55";"2023-07-04 14:47:59"
3299;1;"Body protectors";"Sports material and equipment";0;;;;;body-protectors;;"2019-07-31 05:49:59";"2023-07-04 14:47:59"
3300;1;Compasses;"Camping and Mountain";0;;;;;compasses;;"2019-07-23 13:36:18";"2021-09-20 14:01:20"
3301;1;Tents;"Camping and Mountain";0;;;;;tents;;"2019-07-22 11:15:03";"2023-02-20 14:49:46"
3302;1;"Sleeping bags";"Camping and Mountain";0;;;;;sleeping-bags;;"2019-07-22 11:00:25";"2021-09-20 14:01:20"
