ID;ACTIVE;NAME;PARENT_CATEGORY;ROOT_CATEGORY;DESCRIPTION;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;IMAGE_URL;DATE_ADD;DATE_UPD
2488;1;"Fancy dress and celebration items";"Toys Fancy Dress";0;;;;;fancy-dress-and-celebration-items;;"2017-05-25 16:42:59";"2023-07-03 21:47:12"
2571;1;"Toys Fancy Dress";Home;0;;;;;toys-fancy-dress;;"2017-05-25 16:43:00";"2023-07-03 14:49:52"
2572;1;"Toys and Games";"Toys Fancy Dress";0;;;;;toys-and-games;;"2017-05-25 16:42:59";"2023-07-03 21:47:12"
2574;1;"Toys for babies";"Toys and Games";0;;;;;toys-for-babies;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2576;1;"Board games for children";"Toys and Games";0;;;;;board-games-for-children;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2578;1;"Educational games and games of skill";"Toys and Games";0;;;;;educational-games-and-games-of-skill;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2579;1;"Puzzles and constructions";"Toys and Games";0;;;;;puzzles-and-constructions;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2581;1;"Dolls and stuffed toys";"Toys and Games";0;;;;;dolls-and-stuffed-toys;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2583;1;"Playing at being grown-up";"Toys and Games";0;;;;;playing-at-being-grown-up;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2585;1;"Outdoor play";"Toys and Games";0;;;;;outdoor-play;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2587;1;"Vehicles, circuits and radio control";"Toys and Games";0;;;;;vehicles-circuits-and-radio-control;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2589;1;"Scooters and tricycles";"Toys and Games";0;;;;;scooters-and-tricycles;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2593;1;"Babies and Children";"Toys Fancy Dress";0;;;;;babies-and-children;;"2017-05-25 16:42:59";"2023-07-01 21:47:26"
2594;1;Breastfeeding;"Babies and Children";0;;;;;breastfeeding;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2596;1;"Children's tableware";"Babies and Children";0;;;;;children-s-tableware;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2597;1;"Bath time";"Babies and Children";0;;;;;bath-time;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2599;1;Bedtime;"Babies and Children";0;;;;;bedtime;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2601;1;"Relaxation and fun";"Babies and Children";0;;;;;relaxation-and-fun;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2603;1;"Health and safety";"Babies and Children";0;;;;;health-and-safety;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2605;1;"Journeys and trips";"Babies and Children";0;;;;;journeys-and-trips;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2607;1;"Hats and Umbrellas";"Babies and Children";0;;;;;hats-and-umbrellas;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2610;1;"Children's decoration";"Babies and Children";0;;;;;children-s-decoration;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2611;1;"School Supplies";"Toys Fancy Dress";0;;;;;school-supplies;;"2017-05-25 16:42:59";"2023-07-03 14:49:52"
2613;1;"School backpacks";"School Supplies";0;;;;;school-backpacks;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2615;1;"Pencil Cases and Pencil Boxes";"School Supplies";0;;;;;pencil-cases-and-pencil-boxes;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2616;1;"Other school supplies";"School Supplies";0;;;;;other-school-supplies;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2660;1;"Other toys";"Toys and Games";0;;;;;other-toys;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2902;1;"Clothes and Footwear for Children";"Babies and Children";0;;;;;clothes-and-footwear-for-children;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
3012;1;Animals;"Fancy dress and celebration items";0;;;;;animals;;"2017-11-23 14:36:02";"2021-09-20 14:01:20"
3013;1;"Singers and music";"Fancy dress and celebration items";0;;;;;singers-and-music;;"2017-11-23 14:36:05";"2023-03-08 14:48:54"
3014;1;Cavemen;"Fancy dress and celebration items";0;;;;;cavemen;;"2017-11-23 14:24:35";"2021-09-20 14:01:20"
3016;1;"Food and Drinks";"Fancy dress and celebration items";0;;;;;food-and-drinks;;"2017-11-23 14:26:03";"2021-10-06 14:01:18"
3017;1;"Cultures and traditions";"Fancy dress and celebration items";0;;;;;cultures-and-traditions;;"2017-11-23 14:26:00";"2021-09-20 14:01:20"
3018;1;"50s, 60s, 70s, 80s";"Fancy dress and celebration items";0;;;;;50s-60s-70s-80s;;"2017-11-23 14:26:44";"2023-04-13 14:48:42"
3019;1;Cartoons;"Fancy dress and celebration items";0;;;;;cartoons;;"2017-11-23 14:27:11";"2023-05-25 14:46:54"
3021;1;Disney;"Fancy dress and celebration items";0;;;;;disney;;"2017-11-23 14:27:13";"2021-09-20 14:01:20"
3022;1;Fantasy;"Fancy dress and celebration items";0;;;;;fantasy;;"2017-11-23 14:27:16";"2023-03-08 00:51:40"
3023;1;Halloween;"Fancy dress and celebration items";0;;;;;halloween;;"2017-11-23 14:27:18";"2021-09-20 14:01:20"
3024;1;Medieval;"Fancy dress and celebration items";0;;;;;medieval;;"2017-11-23 14:27:20";"2023-07-04 14:47:59"
3025;1;Christmas;"Fancy dress and celebration items";0;;;;;christmas;;"2017-11-23 14:27:24";"2021-09-20 14:01:20"
3026;1;"Original and fun";"Fancy dress and celebration items";0;;;;;original-and-fun;;"2017-11-23 14:27:52";"2021-09-20 14:01:20"
3027;1;Clowns;"Fancy dress and celebration items";0;;;;;clowns;;"2017-11-23 14:27:55";"2021-09-20 14:01:20"
3028;1;"Movies and series";"Fancy dress and celebration items";0;;;;;movies-and-series;;"2017-11-23 14:28:16";"2023-07-04 14:47:59"
3030;1;Pirates;"Fancy dress and celebration items";0;;;;;pirates;;"2017-11-23 14:28:18";"2023-07-04 14:47:59"
3031;1;"Princesses and kings";"Fancy dress and celebration items";0;;;;;princesses-and-kings;;"2017-11-23 14:28:21";"2021-09-20 14:01:20"
3032;1;Professions;"Fancy dress and celebration items";0;;;;;professions;;"2017-11-23 14:28:23";"2023-07-04 14:47:59"
3033;1;Religion;"Fancy dress and celebration items";0;;;;;religion;;"2017-11-23 14:28:28";"2023-03-14 21:47:23"
3034;1;Sexy;"Fancy dress and celebration items";0;;;;;sexy;;"2017-11-23 14:29:02";"2023-05-25 14:46:54"
3035;1;"Superheroes and video games";"Fancy dress and celebration items";0;;;;;superheroes-and-video-games;;"2017-11-23 14:29:06";"2021-09-20 14:01:20"
3036;1;"Wigs and caps";"Fancy dress and celebration items";0;;;;;wigs-and-caps;;"2017-11-23 14:29:11";"2023-07-04 14:47:59"
3037;1;Masks;"Fancy dress and celebration items";0;;;;;masks;;"2017-11-23 14:29:15";"2023-03-01 14:48:10"
3038;1;Makeup;"Fancy dress and celebration items";0;;;;;makeup;;"2017-11-23 14:29:17";"2023-03-09 14:49:24"
3039;1;"Party accessories";"Fancy dress and celebration items";0;;;;;party-accessories;;"2017-11-23 14:29:20";"2023-07-04 14:47:59"
3040;1;"Costume accessories";"Fancy dress and celebration items";0;;;;;costume-accessories;;"2017-11-23 14:29:24";"2023-07-06 14:47:29"
3041;1;"Children's costumes";"Fancy dress and celebration items";0;;;;;children-s-costumes;;"2017-12-22 09:30:25";"2023-07-04 14:47:59"
3145;1;"Parties and Celebrations";"Toys Fancy Dress";0;;;;;parties-and-celebrations;;"2017-12-24 22:27:51";"2023-07-04 14:47:59"
3146;1;"Joke items";"Parties and Celebrations";0;;;;;joke-items;;"2017-12-25 03:20:38";"2021-09-20 14:01:20"
3147;1;"Romantic items";"Parties and Celebrations";0;;;;;romantic-items;;"2017-12-25 03:20:13";"2023-10-19 14:48:23"
3148;1;"Erotic items";"Parties and Celebrations";0;;;;;erotic-items;;"2017-12-25 03:19:39";"2021-09-20 14:01:20"
3149;1;"Board games and other games";"Parties and Celebrations";0;;;;;board-games-and-other-games;;"2017-12-25 03:19:13";"2023-07-04 14:47:59"
3368;1;Pens;"School Supplies";0;;;;;pens;;"2019-09-16 12:16:30";"2023-02-03 14:49:01"
3380;1;"Notice board";"School Supplies";0;;;;;notice-board;;"2020-05-19 07:00:15";"2021-09-20 14:01:20"
3382;1;Diaries;"School Supplies";0;;;;;diaries;;"2020-05-19 07:00:13";"2023-07-04 14:47:59"
3383;1;Calendars;"School Supplies";0;;;;;calendars;;"2020-05-19 07:00:13";"2024-01-16 00:49:25"
3384;1;"Stationery sets";"School Supplies";0;;;;;stationery-sets;;"2020-05-19 07:00:15";"2023-07-04 14:47:59"
3385;1;Highlighters;"School Supplies";0;;;;;highlighters;;"2020-05-19 07:00:15";"2023-02-03 14:49:01"
3387;1;"Pencil holder";"School Supplies";0;;;;;pencil-holder;;"2020-05-19 07:00:14";"2021-09-20 14:01:20"
3388;1;Blackboards;"School Supplies";0;;;;;blackboards;;"2020-05-19 07:00:14";"2023-07-04 14:47:59"
