ID;ACTIVE;NAME;PARENT_CATEGORY;ROOT_CATEGORY;DESCRIPTION;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;IMAGE_URL;DATE_ADD;DATE_UPD
2472;1;"Leisure Free Time";Home;0;;;;;leisure-free-time;;"2016-05-13 10:43:37";"2017-12-22 11:06:10"
2473;1;"Parties and Celebrations";"Leisure Free Time";0;;;;;parties-and-celebrations;;"2016-05-13 10:44:30";"2017-12-28 14:45:20"
2486;1;"Board games and other games";"Parties and Celebrations";0;;;;;board-games-and-other-games;;"2016-05-13 10:48:58";"2017-12-28 14:44:06"
