ID;ACTIVE;NAME;PARENT_CATEGORY;ROOT_CATEGORY;DESCRIPTION;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;IMAGE_URL;DATE_ADD;DATE_UPD
2399;1;"Home Garden";Home;0;;;;;home-garden;;"2017-05-25 16:42:59";"2023-07-03 14:49:52"
2400;1;"Decoration and Lighting";"Home Garden";0;;;;;decoration-and-lighting;;"2017-05-25 16:42:59";"2023-07-03 14:49:52"
2401;1;"Pictures and posters";"Decoration and Lighting";0;;;;;pictures-and-posters;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2402;1;"Photo frames and picture holders";"Decoration and Lighting";0;;;;;photo-frames-and-picture-holders;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2404;1;"Wall and table clocks";"Decoration and Lighting";0;;;;;wall-and-table-clocks;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2408;1;"Lighters, cigarette cases and ashtrays";"Decoration and Lighting";0;;;;;lighters-cigarette-cases-and-ashtrays;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2413;1;"Cushions and covers";"Home Textiles";0;;;;;cushions-and-covers;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2414;1;"Rugs and blankets";"Home Textiles";0;;;;;rugs-and-blankets;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2419;1;"Other Decoration Items";"Decoration and Lighting";0;;;;;other-decoration-items;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2420;1;"Solar lighting";"Decoration and Lighting";0;;;;;solar-lighting;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2421;1;"LED Lighting";"Decoration and Lighting";0;;;;;led-lighting;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2424;1;Bathroom;"Home Garden";0;;;;;bathroom;;"2017-05-25 16:42:59";"2023-07-27 14:50:24"
2427;1;"Curtains, mats and towel rails";Bathroom;0;;;;;curtains-mats-and-towel-rails;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2429;1;"Bathroom accessories";Bathroom;0;;;;;bathroom-accessories;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2431;1;"Bathroom scales";Bathroom;0;;;;;bathroom-scales;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2435;1;"Garden and Terrace";"Home Garden";0;;;;;garden-and-terrace;;"2017-05-25 16:42:59";"2023-07-03 14:49:52"
2438;1;"Barbecues and Accessories";"Garden and Terrace";0;;;;;barbecues-and-accessories;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2440;1;"Outside Furniture";"Garden and Terrace";0;;;;;outside-furniture;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2441;1;"Insect repellers";"Garden and Terrace";0;;;;;insect-repellers;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2443;1;Pets;"Home Garden";0;;;;;pets;;"2017-05-25 16:42:59";"2023-07-03 21:47:12"
2444;1;"Well-being and hygiene";Pets;0;;;;;well-being-and-hygiene;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2445;1;"Travelling and walks";Pets;0;;;;;travelling-and-walks;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2446;1;"Beds and mattresses";Pets;0;;;;;beds-and-mattresses;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2447;1;"Drinkers and feeders";Pets;0;;;;;drinkers-and-feeders;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2448;1;Toys;Pets;0;;;;;toys;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2450;1;"Heating and Cooling";"Home Garden";0;;;;;heating-and-cooling;;"2017-05-25 16:42:59";"2023-07-03 21:47:12"
2451;1;"Air conditioning and fans";"Heating and Cooling";0;;;;;air-conditioning-and-fans;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2452;1;"Radiators and heaters";"Heating and Cooling";0;;;;;radiators-and-heaters;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2453;1;Humidifiers;"Heating and Cooling";0;;;;;humidifiers;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2454;1;"Cleaning, Vacuuming and Ironing";"Home Garden";0;;;;;cleaning-vacuuming-and-ironing;;"2017-05-25 16:42:59";"2023-07-03 21:47:12"
2457;1;"Steam cleaning";"Cleaning, Vacuuming and Ironing";0;;;;;steam-cleaning;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2459;1;"Mops, Brooms and Floor Dusters";"Cleaning, Vacuuming and Ironing";0;;;;;mops-brooms-and-floor-dusters;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2461;1;"Vacuum cleaners and cleaning robots";"Cleaning, Vacuuming and Ironing";0;;;;;vacuum-cleaners-and-cleaning-robots;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2463;1;"Dryers, irons and clotheslines";"Cleaning, Vacuuming and Ironing";0;;;;;dryers-irons-and-clotheslines;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2466;1;"Sewing machines";"Cleaning, Vacuuming and Ironing";0;;;;;sewing-machines;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2468;1;"DIY and Hardware";"Home Garden";0;;;;;diy-and-hardware;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2471;1;"Automation and Safety";"Home Garden";0;;;;;automation-and-safety;;"2017-05-25 16:42:59";"2023-07-03 21:47:12"
2633;1;"Alarm clocks";"Decoration and Lighting";0;;;;;alarm-clocks;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2651;1;"Other cleaning products";"Cleaning, Vacuuming and Ironing";0;;;;;other-cleaning-products;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2655;1;"Money Boxes";"Decoration and Lighting";0;;;;;money-boxes;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2698;1;Mirrors;"Decoration and Lighting";0;;;;;mirrors;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2699;1;"Centerpieces and Vases";"Decoration and Lighting";0;;;;;centerpieces-and-vases;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2700;1;"Candles and Candle Holders";"Decoration and Lighting";0;;;;;candles-and-candle-holders;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2701;1;"Umbrella Stands and Magazine Racks";"Decoration and Lighting";0;;;;;umbrella-stands-and-magazine-racks;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2702;1;"Jewellery Boxes and Ceramic Jars";"Decoration and Lighting";0;;;;;jewellery-boxes-and-ceramic-jars;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2703;1;Lamps;"Decoration and Lighting";0;;;;;lamps;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2704;1;Gramophones;"Decoration and Lighting";0;;;;;gramophones;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2705;1;Doorstops;"Decoration and Lighting";0;;;;;doorstops;;"2017-05-25 16:42:59";"2023-03-01 14:48:10"
2706;1;"Home Textiles";"Home Garden";0;;;;;home-textiles;;"2017-05-25 16:42:59";"2023-07-04 07:48:47"
2707;1;"Table Runners and Tablecloths";"Home Textiles";0;;;;;table-runners-and-tablecloths;;"2017-05-25 16:42:59";"2023-02-27 14:46:55"
2708;1;Furniture;"Home Garden";0;;;;;furniture;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2709;1;"Hallway furnitures, cupboards and chiffoniers";Furniture;0;;;;;hallway-furnitures-cupboards-and-chiffoniers;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2710;1;"Folding Screens";Furniture;0;;;;;folding-screens;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2711;1;Trunks;Furniture;0;;;;;trunks;;"2017-05-25 16:42:59";"2023-03-08 00:51:40"
2712;1;"Armchairs, Rocking Chairs and Sofas";Furniture;0;;;;;armchairs-rocking-chairs-and-sofas;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2713;1;"Relaxation Chairs";Furniture;0;;;;;relaxation-chairs;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2714;1;"Sofas and Sofabeds";Furniture;0;;;;;sofas-and-sofabeds;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2715;1;"Headboards and Footboards";Furniture;0;;;;;headboards-and-footboards;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2716;1;"Chests of Drawers, Dressing Tables and Wardrobes";Furniture;0;;;;;chests-of-drawers-dressing-tables-and-wardrobes;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2717;1;"Tables and Chairs";Furniture;0;;;;;tables-and-chairs;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2718;1;"TV furniture and stands";Furniture;0;;;;;tv-furniture-and-stands;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2719;1;Desks;Furniture;0;;;;;desks;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2720;1;Shelvings;Furniture;0;;;;;shelvings;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2721;1;"Bedside Tables";Furniture;0;;;;;bedside-tables;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2722;1;"Coat stands and coat pegs";Furniture;0;;;;;coat-stands-and-coat-pegs;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2723;1;"Poufs and Stools";Furniture;0;;;;;poufs-and-stools;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2724;1;"Shoe racks";Furniture;0;;;;;shoe-racks;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2725;1;"Item Organizers";"Home Garden";0;;;;;item-organizers;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2735;1;"Hoses and Sprinklers";"Garden and Terrace";0;;;;;hoses-and-sprinklers;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2736;1;"Lighting and Outside Decoration";"Garden and Terrace";0;;;;;lighting-and-outside-decoration;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
