ID;ACTIVE;NAME;PARENT_CATEGORY;ROOT_CATEGORY;DESCRIPTION;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;IMAGE_URL;DATE_ADD;DATE_UPD
2672;1;"Teleshopping As Seen on TV";Home;0;;;;;teleshopping-as-seen-on-tv;;"2017-05-25 16:43:00";"2021-09-20 14:01:20"
2673;1;"Kitchen Accessories";"Teleshopping As Seen on TV";0;;;;;kitchen-accessories;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2674;1;"Home Ideas";"Teleshopping As Seen on TV";0;;;;;home-ideas;;"2017-05-25 16:42:59";"2023-02-16 14:49:36"
2675;1;"Sports Equipment";"Teleshopping As Seen on TV";0;;;;;sports-equipment;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
2676;1;"Health & Beauty Teleshop";"Teleshopping As Seen on TV";0;;;;;teleshopping-as-seen-on-tv-health-beauty-teleshop;;"2017-05-25 16:42:59";"2022-03-09 10:38:52"
2677;1;"Much more as seen on TV";"Teleshopping As Seen on TV";0;;;;;much-more-as-seen-on-tv;;"2017-05-25 16:42:59";"2021-09-20 14:01:20"
