ID;CATEGORY;NAME;ATTRIBUTE1;ATTRIBUTE2;VALUE1;VALUE2;DESCRIPTION;BRAND;FEATURE;PRICE;PVP_BIGBUY;PVD;IVA;VIDEO;EAN13;WIDTH;HEIGHT;DEPTH;WEIGHT;STOCK;DATE_ADD;DATE_UPD;IMAGE1;IMAGE2;IMAGE3;IMAGE4;IMAGE5;IMAGE6;IMAGE7;IMAGE8;IMAGE_ENERGY_EFFICIENCY;CONDITION;INTRASTAT
S6103982;2662,2684;"Bags Earth Rated 870856100076 Perfume free Pets (120 uds)";;;;;"If you are looking for new market trending items, we present the <b>Bags Earth Rated Perfume free Pets (120 uds)</b>!<br><br><ul><li>Capacity: 120 uds</li><li>Characteristics: Perfume free</li><li>Recommended use: Pets</li></ul>";14145;;8.91;6.24;4.37;21;0;0870856000345;4.5;19.5;13;0.34;648;"2024-11-08 20:30:08";"2025-01-23 20:36:05";https://cdnbigbuy.com/images/0870856000345_R01.jpg;https://cdnbigbuy.com/images/0870856000345_S6103982_P01.jpg;;;;;;;;NEW;29362900
S7122275;2662,2684;"Album Domiva My Birthday Diary";;;;;"If you are looking for new market trending items, we present the <b>Album Domiva My Birthday Diary</b>!<br><ul><li>Type: <ul><li>Album</li><li>Diary</li></ul></li><li>Colour: Grey</li><li>Language: French</li></ul>";15681;;38.97;29.23;23.97;21;0;3120760066058;22;2;32;0.62;6;"2024-03-14 23:43:30";"2025-01-23 00:43:09";https://cdnbigbuy.com/images/3120760066058_S7122275_P1_WBG2.jpg;https://cdnbigbuy.com/images/3120760066058_S7122275_P0_WBG2.jpg;https://cdnbigbuy.com/images/3120760066058_R12.jpg;;;;;;;NEW;84733080
S7122279;2662,2684;"Album Domiva My Birthday Diary Teddy Bear";;;;;"If you are looking for new market trending items, we present the <b>Album Domiva My Birthday Diary Teddy Bear</b>!<br><ul><li>Type: <ul><li>Album</li><li>Diary</li></ul></li><li>Language: French</li><li>Colour: Grey</li></ul>";15681;;41.17;30.88;25.32;21;0;3120760066072;22;2;32;0.62;6;"2023-09-12 13:39:19";"2025-01-13 15:29:09";https://cdnbigbuy.com/images/3120760066072_S7122279_P01.jpg;https://cdnbigbuy.com/images/3120760066072_S7122279_P31.jpg;https://cdnbigbuy.com/images/3120760066072_S7122279_P21.jpg;https://cdnbigbuy.com/images/3120760066072_S7122279_P11.jpg;;;;;;NEW;84733080
S7122282;2662,2684;"Album Domiva 1700251 Storage Box";;;;;"Children deserve the best, that's why we present to you <b>Album Domiva 1700251 Storage Box</b>, ideal for those who seek quality products for their little ones! Get <b>Domiva</b> and other brands and licences at the best prices!<br><ul><li>Type: Album</li><li>Includes: Storage Box</li><li>Language: French</li></ul>";15681;;61.4;46.05;37.76;21;0;3700948330852;22.6;10.8;31;1.512;2;"2024-03-14 23:43:23";"2025-01-20 16:05:09";https://cdnbigbuy.com/images/3700948330852_S7122282_P12.jpg;https://cdnbigbuy.com/images/3700948330852_S7122282_P32.jpg;https://cdnbigbuy.com/images/3700948330852_R32.jpg;https://cdnbigbuy.com/images/3700948330852_R42.jpg;https://cdnbigbuy.com/images/3700948330852_S7122282_P02.jpg;;;;;NEW;84733080
S7122283;2662,2684;"Album Domiva 1700252";;;;;"Children deserve the best, that's why we present to you <b>Album Domiva 1700252</b>, ideal for those who seek quality products for their little ones! Get <b>Domiva</b> and other brands and licences at the best prices!<br><br><ul><li>Type: Album</li><li>Language: French</li></ul>";15681;;39.91;29.93;24.54;21;0;3700948330869;30.6;1.6;23;0.494;6;"2024-03-14 23:43:17";"2025-01-13 15:29:09";https://cdnbigbuy.com/images/3700948330869_S7122283_P01.jpg;;;;;;;;;NEW;84733080
S7163603;2662,2684;"Sensory ball Vtech Baby 80-509105 (FR)";;;;;"Children deserve the best, that's why we present to you <b>Sensory ball Vtech Baby 80-509105 (FR)</b>, ideal for those who seek quality products for their little ones! Get <b>Vtech Baby</b> and other brands and licences at the best prices!<br><br><ul><li>Recommended age: <ul><li>+ 0 Years</li><li>+ 6 Months</li><li>6 - 36 Months</li></ul></li><li>Type: Set</li><li>Language: French</li><li>Characteristics: Individual</li><li>Colour: Multicolour</li><li>Number of batteries: 2</li><li>Battery operated: <ul><li>Yes</li><li>AAA x 2, included</li></ul></li><li>Includes: Battery</li><li>Battery type: AAA</li><li>Batteries included: Yes</li><li>Gender: Unisex</li><li>Weight: 240 g</li></ul>";15679;;46.53;34.9;28.62;21;0;3417765091056;23;18;21.4;0.54;5;"2025-01-06 18:36:45";"2025-01-20 16:08:05";https://cdnbigbuy.com/images/3417765091056_S7163603_P01.jpg;https://cdnbigbuy.com/images/3417765091056_S7163603_P41.jpg;;;;;;;;NEW;84145100
S7163606;2662,2684;"Sensory ball Vtech Baby 80-166105";;;;;"Children deserve the best, that's why we present to you <b>Sensory ball Vtech Baby 80-166105</b>, ideal for those who seek quality products for their little ones! Get <b>Vtech Baby</b> and other brands and licences at the best prices!<br><br><ul><li>Recommended age: <ul><li>+ 0 Years</li><li>+ 6 Months</li></ul></li><li>Characteristics: Individual</li><li>Language: French</li><li>Number of batteries: 2</li><li>Battery operated: Yes</li><li>Includes: Battery</li><li>Battery type: AAA</li><li>Batteries included: Yes</li><li>Material: Plush</li></ul>";15679;;45.13;33.85;27.76;21;0;3417761661055;22.4;18.6;23.2;0.5;24;"2024-12-17 14:54:18";"2025-01-20 16:08:06";https://cdnbigbuy.com/images/3417761661055_S7163606_P02.jpg;;;;;;;;;NEW;84145100
S7186062;2662,2684;"Album Domiva Mon Journal de Naissance";;;;;"If you are looking for new market trending items, we present the <b>Album Domiva Mon Journal de Naissance</b>!<br><ul><li>Type: <ul><li>Album</li><li>Diary</li></ul></li><li>Language: French</li><li>Colour: Pink</li></ul>";15681;;40.76;30.57;25.07;21;0;3700948333990;30.5;1.8;23.1;0.488;3;"2023-04-13 18:22:45";"2025-01-14 07:58:06";https://cdnbigbuy.com/images/3700948333990_S7186062_P00.jpg;https://cdnbigbuy.com/images/3700948333990_S7186062_P10.jpg;;;;;;;;NEW;84733080
S7193812;2662,2684;"Document Holder Béaba Grey Babies 17,5 x 25,5 x 1 cm";;;;;"Children deserve the best, that's why we present to you <b>Document Holder Béaba Grey Babies 17,5 x 25,5 x 1 cm</b>, ideal for those who seek quality products for their little ones! Get <b>Béaba</b> and other brands and licences at the best prices!<br><br><ul><li>Type: Document Holder</li><li>Type of fastening: Button</li><li>Recommended use: Babies</li><li>Approx. dimensions: 17,5 x 25,5 x 1 cm</li><li>Colour: Grey</li><li>Language: French</li></ul>";3723;;39.63;29.72;24.37;21;0;3384349403096;26.3;2.9;19.7;0.26;7;"2024-04-30 13:47:13";"2025-01-23 18:44:10";https://cdnbigbuy.com/images/3384349403096_S7193812_P00.jpg;https://cdnbigbuy.com/images/3384349403096_S7193812_P10.jpg;https://cdnbigbuy.com/images/3384349403096_S7193812_P20.jpg;https://cdnbigbuy.com/images/3384349403096_S7193812_P30.jpg;;;;;;NEW;84716070
S7193813;2662,2684;"Document Holder Béaba Pink Babies 17,5 x 25,5 x 1 cm";;;;;"Children deserve the best, that's why we present to you <b>Document Holder Béaba Pink Babies 17,5 x 25,5 x 1 cm</b>, ideal for those who seek quality products for their little ones! Get <b>Béaba</b> and other brands and licences at the best prices!<br><br><ul><li>Type: Document Holder</li><li>Type of fastening: Button</li><li>Material: 100 % polyester</li><li>Recommended use: Babies</li><li>Approx. dimensions: 17,5 x 25,5 x 1 cm</li><li>Colour: Pink</li></ul>";3723;;39.64;29.73;24.38;21;0;3384349403126;26.3;2.8;19.8;0.26;2;"2024-09-11 22:35:22";"2025-01-13 15:31:07";https://cdnbigbuy.com/images/3384349403126_S7193813_P00.jpg;https://cdnbigbuy.com/images/3384349403126_S7193813_P10.jpg;https://cdnbigbuy.com/images/3384349403126_S7193813_P20.jpg;https://cdnbigbuy.com/images/3384349403126_S7193813_P30.jpg;https://cdnbigbuy.com/images/3384349403126_S7193813_P40.jpg;https://cdnbigbuy.com/images/3384349403126_S7193813_P50.jpg;;;;NEW;84716070
