ID;ACTIVE;NAME;PARENT_CATEGORY;ROOT_CATEGORY;DESCRIPTION;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;IMAGE_URL;DATE_ADD;DATE_UPD
2507;1;"Perfumes Cosmetics";Home;0;;;;;perfumes-cosmetics;;"2017-05-25 16:43:00";"2023-07-03 14:49:52"
2508;1;Perfumes;"Perfumes Cosmetics";0;;;;;perfumes;;"2017-05-25 16:42:59";"2023-07-03 21:47:12"
2509;1;"Perfumes for men";Perfumes;0;;;;;perfumes-for-men;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2510;1;"Perfumes for women";Perfumes;0;;;;;perfumes-for-women;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2511;1;"Unisex Perfumes";Perfumes;0;;;;;unisex-perfumes;;"2017-05-25 16:42:59";"2023-07-06 14:47:29"
2514;1;"Aftershave and lotions";"Face Care";0;;;;;aftershave-and-lotions;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2527;1;"Face Care";"Perfumes Cosmetics";0;;;;;face-care;;"2017-05-25 16:42:59";"2023-07-03 14:49:52"
2531;1;"Anti-wrinkle and moisturising creams";"Face Care";0;;;;;anti-wrinkle-and-moisturising-creams;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2533;1;"Eye contour creams";"Face Care";0;;;;;eye-contour-creams;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2534;1;Serums;"Face Care";0;;;;;serums;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2536;1;"Cleansers and exfoliants";"Face Care";0;;;;;cleansers-and-exfoliants;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2537;1;"Face masks";"Face Care";0;;;;;face-masks;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2538;1;"Make-up removers";"Face Care";0;;;;;make-up-removers;;"2017-05-25 16:42:59";"2023-07-03 21:47:12"
2539;1;"Tonics and cleansing milks";"Face Care";0;;;;;tonics-and-cleansing-milks;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2547;1;"Body Care";"Perfumes Cosmetics";0;;;;;body-care;;"2017-05-25 16:43:00";"2023-07-03 21:47:12"
2549;1;"Soaps and gels";"Body Care";0;;;;;soaps-and-gels;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2550;1;Deodorants;"Body Care";0;;;;;deodorants;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2551;1;"Moisturisers and Exfoliants";"Body Care";0;;;;;moisturisers-and-exfoliants;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2553;1;"Anti-cellulite creams";"Body Care";0;;;;;anti-cellulite-creams;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2555;1;Cosmetics;"Perfumes Cosmetics";0;;;;;cosmetics;;"2017-05-25 16:42:59";"2023-07-03 21:47:12"
2557;1;"Make-up and correctors";Cosmetics;0;;;;;make-up-and-correctors;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2558;1;"Compact powders";Cosmetics;0;;;;;compact-powders;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2560;1;Blushers;Cosmetics;0;;;;;blushers;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2562;1;"Eye shadows";Cosmetics;0;;;;;eye-shadows;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2564;1;Mascara;Cosmetics;0;;;;;mascara;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2566;1;"Eyeliners and eye pencils";Cosmetics;0;;;;;eyeliners-and-eye-pencils;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2569;1;"Lipsticks, Lip Glosses and Lip Pencils";Cosmetics;0;;;;;lipsticks-lip-glosses-and-lip-pencils;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2653;1;"Natural Cosmetics";"Perfumes Cosmetics";0;;;;;natural-cosmetics;;"2017-05-25 16:43:00";"2023-02-07 21:46:51"
2659;1;"Cosmetic and Perfume Sets";"Perfumes Cosmetics";0;;;;;cosmetic-and-perfume-sets;;"2017-05-25 16:43:00";"2023-07-03 21:47:12"
2891;1;"Intimate hygiene";"Body Care";0;;;;;intimate-hygiene;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2892;1;"Oral hygiene";"Body Care";0;;;;;oral-hygiene;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
2900;1;"Accessories & Organisers";Cosmetics;0;;;;;accessories-organisers;;"2017-05-25 16:42:59";"2023-07-04 14:47:59"
3009;1;"Children's perfumes";Perfumes;0;;;;;children-s-perfumes;;"2017-11-10 02:22:53";"2023-07-04 14:47:59"
3010;1;"Pet perfumes";Perfumes;0;;;;;pet-perfumes;;"2017-11-10 02:23:37";"2021-09-20 14:01:20"
3011;1;"Erotic perfumes";Perfumes;0;;;;;erotic-perfumes;;"2017-11-10 02:24:00";"2023-02-07 21:46:51"
3167;1;"Stick Deodorants";"Body Care";0;;;;;stick-deodorants;;"2018-10-24 12:15:06";"2023-07-04 14:47:59"
3168;1;"Spray Deodorants";"Body Care";0;;;;;spray-deodorants;;"2018-10-24 12:15:04";"2023-07-04 14:47:59"
3169;1;"Roll-On Deodorants";"Body Care";0;;;;;roll-on-deodorants;;"2018-10-24 12:15:08";"2023-07-04 14:47:59"
3171;1;"Foot Deodorants";"Body Care";0;;;;;foot-deodorants;;"2019-01-30 14:00:35";"2021-09-20 14:01:20"
3189;1;"Shaving foams";"Face Care";0;;;;;shaving-foams;;"2019-03-18 14:00:28";"2023-07-04 14:47:59"
